Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count
5753,8,12,188916.0,1082604.0,763,1026
5772,9,2,20652.0,352236.0,17,188
5779,9,14,57422.0,1353542.0,67,1046
5784,6,19,286582.0,2796389.0,203,845
5794,10,21,240341.0,1979329.0,68,1783
5796,5,19,19196.0,2113148.0,33,1181
5806,5,11,11801.0,2475015.0,69,1859
5812,11,10,52813.0,1677377.0,77,585
5814,3,16,335559.0,1407368.0,497,722
5817,11,17,2444419.0,264959.0,702,916
5818,14,24,197846.0,3183932.0,252,1746
5829,11,24,69600.0,1638612.0,36,1114
5835,3,1,24451.0,111440.0,7,14
5840,5,18,777859.0,1634518.0,659,1043
5852,11,17,181259.0,260446.0,146,769
5854,7,9,997072.0,927646.0,64,407
5855,3,16,5915.0,537818.0,11,722
5857,7,13,35008.0,650729.0,227,882
5859,12,19,5537034.0,1436073.0,2975,835
5860,8,13,78445.0,1245565.0,123,844
5889,4,17,113432.0,1327599.0,11,297
5902,10,18,78208.0,394073.0,356,1196
5907,6,18,102539.0,1403588.0,29,1243
5911,15,15,6659581.0,715808.0,3770,658
5912,6,10,1477640.0,560798.0,137,389
5921,9,15,22803.0,808854.0,64,438
5945,7,7,13986.0,454070.0,99,166
5946,9,14,10819374.0,2442699.0,2717,311
5955,9,9,268392.0,4718099.0,305,733
5960,5,5,436778.0,1020260.0,559,513
5981,3,9,40722.0,322993.0,14,104
5987,6,14,24815.0,209311.0,7,234
5994,4,13,98738.0,129490.0,48,462
6009,9,16,9350455.0,1059032.0,247,668
6017,9,15,219537.0,506967.0,43,609
6021,6,12,1561310.0,444755.0,1013,390
6025,5,21,1046194.0,1338113.0,95,1114
6026,11,10,629884.0,4437723.0,383,657
6040,8,10,7534726.0,583771.0,5079,343
6045,11,16,3432845.0,2886052.0,2683,1151
6057,6,11,162879.0,461751.0,111,623
6113,11,30,424594.0,1781177.0,71,1495
6126,9,23,88969.0,1891548.0,58,936
6128,5,4,166312.0,880916.0,122,513
6139,8,16,351279.0,484092.0,181,161
6154,12,17,154955.0,476225.0,31,235
6169,5,9,1657762.0,1722685.0,389,462
6170,4,15,25198.0,159888.0,10,308
6177,4,7,74717.0,1036856.0,26,462
6180,7,17,1340515.0,816566.0,211,1682
6199,15,16,118103.0,1285927.0,70,1093
