Source Target Total Count
33 6352 14218.0 8
33 6358 14440.0 7
33 6379 5184.0 6
33 6397 98070.0 30
33 6426 1271.0 1
33 6428 59696.0 13
33 6444 278880.0 118
33 6451 115278.0 39
33 6466 284779.0 204
33 6483 396258.0 48
33 6485 7702.0 5
33 6512 5088.0 1
33 6517 17851.0 2
33 6527 100649.0 25
33 6537 4382.0 7
33 6543 563.0 2
33 6554 331782.0 140
33 6563 966.0 1
33 6574 433179.0 77
33 6616 1916.0 1
33 6627 36744.0 16
33 6628 6594.0 5
33 6641 19376.0 11
33 6650 2175.0 1
33 6698 4084.0 2
33 6737 4885.0 10
33 6745 23052.0 36
33 6798 1853.0 1
33 6805 13966.0 16
33 6809 275985.0 19
33 6829 1440.0 6
33 6865 6806.0 13
33 6877 572643.0 117
33 6920 5573.0 14
33 6923 3980.0 11
33 6932 283911.0 25
33 6949 1774.0 2
33 6952 10791.0 9
33 6978 1877.0 1
33 7007 310197.0 251
33 7043 6953.0 2
33 7057 9534.0 8
33 7059 6295.0 1
33 7060 23927.0 41
33 7081 3980.0 1
33 684 3589.0 2
33 7084 12619.0 10
33 7089 18178.0 18
33 7100 14664.0 9
33 7114 381.0 1
33 7122 9340.0 5
33 7143 744.0 6
33 7163 162893.0 37
33 7169 29079.0 17
33 7170 2409.0 1
33 7195 7192.0 3
33 7197 207812.0 397
33 7229 9776.0 15
33 7230 6775.0 8
33 7245 3451.0 18
33 7253 4540.0 9
33 7260 2000.0 1
33 7277 8107.0 2
33 7293 17557.0 26
33 7299 112734.0 8
33 7301 3378.0 3
33 7303 2345.0 5
33 7325 33810.0 12
33 7328 21900.0 4
33 7342 412501.0 52
33 7344 1000.0 1
33 7358 526281.0 1234
33 7368 1439.0 2
33 7378 69018.0 13
33 7384 10512.0 8
33 7391 9600.0 22
33 7393 156888.0 78
33 7398 11892.0 29
33 7412 31587.0 2
33 7442 6401.0 8
33 7460 6000.0 2
33 7483 11134.0 10
33 7491 12132.0 6
33 7495 13416.0 4
33 7501 743.0 2
33 7503 17069.0 10
33 7515 21636.0 12
33 7532 171.0 1
33 7539 6802.0 8
33 7564 2883.0 1
33 7569 557.0 3
33 7580 23549.0 27
33 7600 643.0 3
33 7602 254635.0 169
33 7607 4000.0 2
33 7609 6312.0 2
33 7615 5725.0 1
33 7628 12841.0 9
33 7630 3703.0 6
33 7633 39981.0 42
33 7674 86399.0 141
33 7698 317.0 3
33 7702 1000.0 1
33 7714 29693.0 62
33 7725 4560.0 4
33 7728 4141.0 6
33 7742 4284.0 4
33 842 42.0 1
33 7764 20128.0 5
33 7782 10885.0 6
33 1237 1072.0 4
33 7827 509.0 2
33 7838 102509.0 71
33 7868 274.0 1
33 7890 73.0 1
33 7914 1718116.0 49
33 7924 1529.0 2
33 7949 162800.0 95
33 845 2732.0 12
33 7961 2804.0 2
33 8021 16205.0 3
33 8047 18853.0 7
33 8068 39721.0 19
33 1243 3611.0 7
33 8086 515.0 5
33 8095 4877.0 1
33 8107 16034.0 19
33 8115 2729.0 2
33 8127 1128.0 1
33 8128 133985.0 75
33 8132 3197.0 13
33 8138 211.0 2
33 8152 10330.0 3
33 8154 118358.0 59
33 8157 2796.0 3
33 8183 8869.0 3
33 8193 2912.0 4
33 8202 166121.0 230
33 8205 1700.0 7
33 848 5384.0 6
33 8221 28510.0 4
33 8230 337.0 2
33 1248 5741.0 36
33 850 4090.0 8
33 8254 3713.0 7
33 8269 849.0 1
33 8273 3270.0 4
33 8280 252621.0 112
33 8286 41869.0 62
33 8290 12379.0 25
33 8303 1406.0 2
33 8314 3374747.0 65
33 8331 10211.0 13
33 8334 4294377.0 122
33 8337 3315.0 2
33 8343 2245.0 8
33 855 680628.0 410
33 8348 691.0 1
33 8350 20544.0 20
33 8365 25191.0 11
33 8375 15201.0 24
33 8387 1056.0 1
33 8400 659848.0 246
33 8410 63137.0 25
33 8411 12807.0 7
33 8422 28042.0 2
33 8434 42269.0 55
33 8462 64371.0 31
33 8476 84528.0 12
33 857 8212.0 7
33 8496 28524.0 10
33 1252 13384.0 6
33 8507 1389.0 2
33 8509 14429.0 5
33 8525 5369.0 2
33 8526 52686.0 253
33 8568 128249.0 44
33 8594 174042.0 170
33 8617 9070.0 7
33 8619 29.0 1
33 8634 20524.0 48
33 8638 84102.0 23
33 8653 6562.0 6
33 8665 24315.0 10
33 8667 7496.0 5
33 8671 17545.0 25
33 8674 11921.0 7
33 8676 166029.0 93
33 8755 7777.0 3
33 8758 92970.0 52
33 8771 15637.0 90
33 8776 32679.0 20
33 8778 158835.0 103
