Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count,cluster
1594995,0,1,0.0,68.0,0,3,0
808571,0,1,0.0,855.0,0,1,0
1201808,0,1,0.0,123.0,0,2,0
54930,1,1,93.0,80.0,2,1,0
29904,4,5,77284.0,23312.0,71,15,0
1103559,0,1,0.0,20.0,0,1,0
47917,1,0,1488.0,0.0,13,0,0
127522,3,4,419.0,9402.0,3,26,0
677598,0,1,0.0,594.0,0,6,0
516208,1,2,19474.0,10776.0,6,4,0
1595103,0,1,0.0,203.0,0,2,0
1234663,0,1,0.0,714.0,0,22,0
1234683,0,1,0.0,23950.0,0,5,0
808735,0,2,0.0,19231.0,0,37,0
677665,0,1,0.0,709.0,0,1,0
22812,1,3,1715554.0,1840179.0,96,13,0
290122,3,6,411378.0,90644.0,163,81,0
939842,0,1,0.0,139.0,0,1,0
1365839,0,1,0.0,4366.0,0,3,0
1202038,0,1,0.0,12.0,0,2,0
1333142,0,1,0.0,504.0,0,1,0
23393,1,6,504.0,1041.0,1,6,0
546724,0,1,0.0,95.0,0,1,0
1136559,0,6,0.0,967.0,0,9,0
580490,1,2,9221.0,1282446.0,6,104,0
22466,0,2,0.0,173675.0,0,14,0
1529822,0,1,0.0,4631.0,0,2,0
1398816,0,1,0.0,64.0,0,1,0
521307,1,0,28.0,0.0,1,0,0
1366086,0,1,0.0,585.0,0,2,0
55372,0,1,0.0,3560.0,0,8,0
1595475,0,2,0.0,9431.0,0,5,0
556047,1,3,42697.0,609535.0,12,391,0
809064,0,1,0.0,50350.0,0,26,0
1333378,0,1,0.0,284.0,0,1,0
317592,0,2,0.0,2734.0,0,4,0
1300638,0,7,0.0,171500.0,0,46,0
186530,0,3,0.0,67584.0,0,483,0
612521,0,1,0.0,93.0,0,1,0
1464491,0,1,0.0,82.0,0,2,0
515895,1,0,5556.0,0.0,2,0,0
126212,1,0,7254.0,0.0,6,0,0
515912,1,1,39374.0,3570.0,44,1,0
1366195,0,1,0.0,2880.0,0,4,0
527993,1,0,455.0,0.0,1,0,0
528002,1,0,55412.0,0.0,27,0,0
547428,1,1,205.0,205.0,1,1,0
520850,1,1,129.0,249.0,2,1,0
550148,1,0,33.0,0.0,1,0,0
271450,1,0,115086.0,0.0,47,0,0
1497327,0,1,0.0,4996.0,0,3,0
512760,2,0,31771.0,0.0,42,0,0
