,in_degree,out_degree,in_strength_total,out_strength_total,label
357,1,0,81531,0,0
358,1,0,25622,0,0
359,1,0,149,0,0
360,1,0,9012,0,0
361,1,0,63492,0,0
362,1,0,5130,0,0
363,1,0,256,0,0
364,1,0,307,0,0
365,1,0,47551,0,0
366,1,0,3914,0,0
367,1,1,17224,1032,0
368,1,0,1913,0,0
369,1,0,5063,0,0
370,1,0,68,0,0
371,1,0,25,0,0
372,1,0,3870862,0,0
373,1,0,3128,0,0
374,1,0,2098,0,0
375,1,0,40,0,0
376,1,0,2317,0,0
377,1,0,1303,0,0
378,1,0,3799,0,0
379,1,0,41594,0,0
380,1,0,29,0,0
381,1,0,3,0,0
382,1,0,6783,0,0
383,1,0,120790,0,0
384,1,0,488,0,0
385,1,0,29865,0,0
386,1,0,5846,0,0
387,1,0,402,0,0
388,1,0,845,0,0
389,1,0,0,0,0
390,1,0,378,0,0
391,1,0,10518,0,0
392,1,0,229,0,0
393,1,0,24655,0,0
394,1,0,412,0,0
395,1,0,4347,0,0
396,1,0,39887,0,0
397,1,0,1377,0,0
398,1,0,6442,0,0
399,1,0,11274,0,0
400,1,0,768,0,0
401,1,0,462,0,0
402,1,0,835,0,0
403,1,0,54106,0,0
404,1,0,1189,0,0
405,1,0,47,0,0
406,1,0,8778,0,0
407,1,0,466,0,0
408,1,0,28,0,0
409,1,0,2944,0,0
410,1,0,401,0,0
411,1,0,78,0,0
412,1,0,10945,0,0
413,1,0,4288,0,0
414,1,0,10,0,0
415,1,0,151234,0,0
416,1,0,614,0,0
417,1,0,24,0,0
418,1,0,4445,0,0
419,1,0,2526951,0,0
420,1,0,16761,0,0
421,1,0,4223,0,0
422,1,0,3596,0,0
423,1,0,6826,0,0
424,1,0,1007,0,0
425,1,0,287,0,0
426,1,0,185,0,0
427,1,0,1613942,0,0
428,1,0,1527,0,0
429,1,0,366,0,0
430,1,0,12873,0,0
431,1,0,3508,0,0
432,1,0,127,0,0
433,1,0,10455,0,0
434,1,0,323,0,0
435,1,0,114825,0,0
436,1,0,2331,0,0
437,1,0,667,0,0
438,1,0,2097,0,0
439,1,0,4421,0,0
440,2,0,106154,0,1
441,1,0,134,0,0
442,1,0,46265,0,0
443,1,0,187,0,0
444,1,0,30,0,0
445,1,0,40,0,0
446,1,0,81,0,0
447,1,0,2671,0,0
448,1,0,567,0,0
449,1,0,21699,0,0
450,1,0,248496,0,0
451,1,0,730,0,0
452,1,0,1130,0,0
453,1,0,8036,0,0
454,1,0,11,0,0
455,1,0,303,0,0
456,1,0,27299,0,0
457,1,0,24,0,0
458,1,0,1133,0,0
459,1,0,3969,0,0
460,1,0,651,0,0
461,1,0,2582,0,0
462,1,0,5579,0,0
463,1,0,24207,0,0
464,1,0,7438,0,0
465,1,0,390,0,0
466,1,0,762,0,0
467,1,0,841,0,0
468,1,0,12785,0,0
469,1,0,194,0,0
470,1,0,15303,0,0
471,1,0,165,0,0
472,1,0,203,0,0
473,1,0,39,0,0
474,1,0,179,0,0
475,1,0,6624,0,0
476,1,0,227821,0,0
477,1,0,3143,0,0
478,1,0,2471,0,0
479,1,0,9534,0,0
480,1,0,37476,0,0
481,1,0,763,0,0
482,1,0,70,0,0
483,1,0,101,0,0
484,1,0,105,0,0
485,1,0,86,0,0
486,1,0,1286,0,0
487,1,0,131,0,0
488,1,0,1425,0,0
489,1,0,10559,0,0
490,1,0,2575,0,0
491,1,0,11,0,0
492,1,0,2457,0,0
493,1,0,26,0,0
494,1,0,2491,0,0
495,1,0,1727,0,0
496,1,0,7226,0,0
497,1,0,908,0,0
498,1,0,34,0,0
499,1,0,6278,0,0
500,1,0,545,0,0
501,1,0,4630,0,0
502,1,0,36,0,0
503,1,0,3,0,0
504,1,0,158,0,0
505,1,1,9072,958,0
506,1,1,719,1620,0
507,1,0,334,0,0
508,1,0,110234,0,0
509,1,0,33483,0,0
510,1,0,9704,0,0
511,1,0,3338,0,0
512,1,0,4559,0,0
513,1,0,9350,0,0
514,1,0,103,0,0
515,1,0,477,0,0
516,1,0,1711,0,0
517,1,0,45880,0,0
518,1,0,4945,0,0
519,1,0,14394,0,0
520,1,0,534,0,0
521,2,0,944,0,0
522,1,0,93,0,0
523,2,0,3271,0,0
524,1,1,221,3988,0
525,4,1,73189,9518,1
526,1,0,2215,0,0
527,1,0,200,0,0
528,1,0,83257,0,0
529,1,0,229,0,0
530,1,0,512,0,0
531,1,0,133048,0,0
532,1,0,4491,0,0
533,1,0,9,0,0
534,1,0,29558,0,0
535,1,1,2995,351624,0
536,1,0,30082,0,0
537,1,0,28,0,0
