,node2vec_0,node2vec_1,node2vec_2,node2vec_3,node2vec_4,node2vec_5,node2vec_6,node2vec_7,node2vec_8,node2vec_9,node2vec_10,node2vec_11,node2vec_12,node2vec_13,node2vec_14,node2vec_15
86,-0.02608928,0.001987502,-0.011463106,0.022587247,0.049299106,-0.05465243,-0.0009897202,0.050211817,0.00692755,-0.02832006,0.0027359352,0.0060112253,0.05357381,0.050476313,-0.03388246,0.03701368
87,0.016467638,-0.011178516,0.05164101,-0.0254229,0.037718162,-0.023625962,0.04329195,0.01943954,-0.0022875443,0.04191345,-0.04642488,0.036655627,0.06179759,0.00965976,-0.042554237,0.01473292
88,0.024354666,0.010829121,0.041619383,-0.04380963,-0.04977843,-0.04145371,0.041456178,0.042703807,0.022417456,-0.04592695,-0.024172358,-0.025033474,0.0042075664,-0.050958134,0.04448472,-0.01719658
89,0.04830856,-0.0091264695,-0.02936405,0.040477976,-0.06179796,-0.015546732,0.037915185,-0.025806874,-0.062127262,0.05872228,0.042450108,0.061645284,-0.031494178,-0.034753457,-0.002585806,0.043824345
90,-0.019332863,0.060714155,-0.045674495,-0.020927206,0.050570704,0.047146596,0.020630881,0.033308916,-0.027975954,-0.035432063,0.01684419,-0.0133022,0.005312726,-0.018193059,0.0025872514,-0.0043559894
91,0.029966004,0.0350961,0.02239453,0.060933217,0.027403317,-0.03767977,0.04457005,-0.02167809,-0.029004544,0.011392847,-3.6008656e-05,0.05007314,0.029486224,-0.05832062,0.031373583,-0.036372848
92,-0.043532357,0.05467522,-0.014421158,-0.04694532,-0.034023933,-0.057355687,-0.00959862,0.0135699585,-0.018110797,-0.044664674,-0.0032514557,-0.03651406,-0.030105323,0.019204244,-0.005450785,-0.041149296
93,-0.03904394,-0.028177388,0.040405005,-0.053836353,-0.026847854,-0.04275167,-0.04790079,-0.033324346,-0.031063199,-0.062319458,0.020747177,0.03771106,-0.05270885,-0.049623102,0.013010114,0.0039310455
94,-0.046373807,-0.05893387,0.03438822,-0.0090569705,-0.01095143,0.039655253,0.009674512,-0.04638826,-0.017851017,0.028230913,-0.005540602,0.036259115,-0.024850674,-0.04626949,-0.01600802,0.017219603
95,0.0014255643,-0.015019335,0.00287015,-0.015459128,-0.059262224,-0.050473787,0.032368235,0.028004438,-0.003124036,0.042455785,-0.0009335652,0.04744438,-0.004406661,0.029172197,-0.054859243,-0.046919152
96,0.055663485,-0.9582688,0.6848487,1.5015767,0.58613205,-0.31909108,1.6809556,0.19298613,1.1088027,-0.3155035,-0.38055348,-0.23695739,0.13756755,0.6407103,-0.5497844,0.39254346
97,-0.05766254,0.034565516,-0.004070744,0.06028278,-0.029318467,0.0047173053,0.016723715,0.054874845,-0.05821885,0.0248084,0.058552198,-0.04262659,-0.03805072,0.0012999251,-0.03149368,0.0028429702
98,0.118512824,-0.562068,0.4132681,0.9621272,0.32564104,-0.21698907,1.06273,0.058461506,0.6682862,-0.23121217,-0.19157645,-0.08852356,0.25392428,0.36320534,-0.47091368,0.22439773
99,0.08658945,-0.13684276,0.15337846,0.23872894,0.01865053,-0.06209638,0.39208272,0.061074667,0.23304866,-0.09400188,0.0028581368,-0.02589266,0.05094658,0.12459802,-0.08572076,0.084846765
100,0.06594982,-0.38225365,0.3177639,0.5986199,0.2732579,-0.17826071,0.8217767,0.05424578,0.581623,-0.1439028,-0.10165573,-0.08914704,0.15896107,0.30381685,-0.26432428,0.17300682
101,0.15656257,-0.3919804,0.19473325,0.540957,0.07168355,-0.14302461,0.58763653,0.014991602,0.44158605,-0.08443311,-0.1501662,-0.07429626,0.17861137,0.12448645,-0.2960803,0.12733732
102,0.075058654,-0.52628976,0.3612795,0.77397525,0.34398904,-0.27091414,0.90679514,0.14316145,0.5617896,-0.13523152,-0.23354748,-0.052640546,0.17686364,0.24747592,-0.45186034,0.10263658
103,-0.0051786974,-0.04155101,0.019395426,0.04539133,0.03447357,-0.0002732724,0.032829925,-0.024283275,-0.024220347,-0.024274103,-0.05095595,0.05925072,-0.049198084,0.045048937,0.021127068,-0.029223062
104,-0.023374036,-0.03219106,0.018795922,-0.03102246,0.011459768,-0.05652395,0.06042605,0.059880406,-0.006694138,0.04010897,0.054730706,0.05463235,0.021241672,0.054464772,-0.04324191,0.020182744
105,-0.18710537,-1.5176221,1.2208304,0.7414483,-0.3198744,0.011853251,1.929523,0.6325764,-0.049941745,0.32360128,0.62388307,0.79856807,1.0189784,-1.3292053,-1.5855136,-1.6073802
106,0.91871893,-0.30672476,0.15436995,1.2570556,0.22076201,-0.58972174,1.9857444,2.7166038,2.158276,0.5236391,-0.086728215,-0.65062606,1.150195,-0.41174853,-1.2903657,0.21144928
107,-0.0013917312,-0.000121727586,-0.044783063,0.008519299,0.018356547,0.026422843,0.009792641,0.009462588,0.019174948,-0.006466031,0.03358312,0.00574968,0.046816602,-0.024728991,0.00016214699,0.012469456
108,-0.009610675,0.04525432,0.05075997,-0.03568384,-0.036464818,0.022294968,-0.03763321,0.054060884,0.007408187,0.060502797,-0.058270387,-0.016855553,-0.03533777,-0.046359345,0.03405772,0.04145386
109,0.021351792,0.053189553,0.039552577,-0.05940622,-0.060895815,0.055548273,-0.035606295,0.021969639,0.01757501,-0.020044662,0.055285774,-0.062114038,-0.00064094365,-0.03634479,-0.0176455,-0.030348971
110,0.055443905,-0.018828735,0.027690694,-0.014369376,-0.06070455,-0.04031761,0.04552515,0.031262122,0.025613941,-0.025501393,0.0112544,0.0522513,0.015275404,-0.023306705,0.041193917,0.041195303
111,0.04158338,-0.04935968,0.015552312,-0.05374211,0.040111303,-0.034736812,-0.01565943,-0.0060159415,-0.02513469,0.047574118,-0.041490443,0.058372155,-0.010504402,0.05664707,0.0472238,0.056677334
112,-0.01829224,0.015762068,-0.059848264,0.034519434,-0.01225464,0.061906263,0.039384097,0.022048667,-0.061686307,0.030334838,0.051857173,-0.036940515,-0.053503588,-0.040877387,0.02859328,0.030818045
113,-0.022068683,-0.122661084,0.11220714,0.19664468,0.065992795,-0.1324134,0.3112712,0.15792781,0.22283436,-0.046652142,-0.12798269,0.023808436,0.14127567,0.04090658,-0.067524664,0.06409607
114,-0.058315158,-0.008190669,0.03923691,0.010752946,-0.022859909,0.050999396,0.048382036,0.04536152,0.031525984,0.021532848,-0.03331068,0.061394274,-0.0014548749,-0.01217372,-0.0026617795,-0.052041538
115,0.079184085,-0.17536494,0.06363638,0.30539668,0.08999895,-0.023031916,0.26135856,0.022990087,0.15320642,-0.030164229,-0.12505318,0.007574437,0.0822729,0.02348975,-0.06207938,0.04065082
116,-0.056986153,-0.0019221157,0.05833935,0.01900275,-0.010379024,0.041412584,-0.009866804,-0.011665076,-0.035488628,-0.03659965,0.05121118,-0.008163571,0.008683033,0.04332103,0.017341368,-0.018855207
117,0.06932212,-0.3093972,0.1896645,0.30861554,0.08143613,-0.10034256,0.45280147,0.10583898,0.25715384,-0.053849768,-0.08243269,-0.038546193,0.067053564,0.055201013,-0.19049156,0.012796577
118,0.029069796,-0.010523327,0.0010455772,0.03250254,-0.05400631,-0.04538423,0.02237495,-0.0012145042,-0.009835921,-0.05670566,-0.0072250813,-0.0017004907,-0.058536537,-0.033517748,-0.060115546,-0.011519775
119,0.10897049,-0.92755735,0.6720131,1.3544734,0.53546166,-0.34645873,1.6381553,0.22960292,0.98420376,-0.3918191,-0.46150106,-0.1412443,0.23842354,0.55100805,-0.6280138,0.25937307
120,-0.0037291273,-0.04912146,-0.023241065,-0.03923756,-0.0010461435,0.042764895,0.0039513856,-0.04254237,0.0035446212,0.037568867,-0.04085949,-0.049531676,0.03910739,0.048498787,0.027555004,-0.03132972
