,f_degree_in,f_degree_out,f_amount_in,f_amount_out,f_nr_trans_in,f_nr_trans_out,f_ego_nr_nodes,f_ego_nr_edges,f_egored_degree_in,f_egored_degree_out,f_egored_amount_in,f_egored_amount_out,f_egored_nr_trans_in,f_egored_nr_trans_out,f_egored_nr_nodes,f_egored_nr_edges,f_rwalk_start_amount,f_rwalk_transfer_out,f_rwalk_out_back,f_rwalk_out_back_max,f_rwalk_end_amount,f_rwalk_transfer_in,f_rwalk_in_back,f_rwalk_in_back_max
15533,4.0,1.0,28967.0,2199.0,4.0,1.0,5.0,5.0,2.0,1.0,3094.0,2199.0,2.0,1.0,3.0,3.0,2199.0,764.0,707.82,1506.0,7110.66,7021.56,60.24,1506.0
15534,1.0,0.0,106.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,90.7,0.0,0.0
15535,1.0,1.0,21.0,418.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,418.0,234.84,0.0,0.0,21.0,21.0,0.0,0.0
15536,0.0,1.0,0.0,8922.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8922.0,3640.56,0.0,0.0,0.0,0.0,0.0,0.0
15537,18.0,41.0,1257963.0,1415884.0,18.0,41.0,50.0,49.0,10.0,10.0,1237217.0,1315218.0,10.0,10.0,11.0,10.0,27813.13,2588.56,1262.75,38120.0,98767.01,4607.92,3648.13,38120.0
15538,11.0,2.0,158393.0,4420.0,11.0,2.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2210.0,2210.0,0.0,0.0,13105.22,13100.7,0.0,0.0
15539,1.0,0.0,64.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,54.2,0.0,0.0
15540,1.0,1.0,8600.0,750.0,1.0,1.0,2.0,1.0,1.0,1.0,8600.0,750.0,1.0,1.0,2.0,1.0,750.0,432.62,7.5,750.0,8600.0,1025.4,79.33,750.0
15541,1.0,0.0,1401.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.0,496.48,0.0,0.0
15542,1.0,0.0,16.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.99,0.0,0.0
