in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count,clustering_coefficient,cluster
14,20,1826901.0,2888823.0,2515,1442,0.02666666666666667,0
13,15,39383.0,1018633.0,39,1008,0.0,0
8,12,188916.0,1082604.0,763,1026,0.0,0
9,2,20652.0,352236.0,17,188,0.0,0
9,14,57422.0,1353542.0,67,1046,0.029239766081871343,0
6,19,286582.0,2796389.0,203,845,0.0,0
10,21,240341.0,1979329.0,68,1783,0.0,0
5,19,19196.0,2113148.0,33,1181,0.015789473684210527,0
5,11,11801.0,2475015.0,69,1859,0.04395604395604396,0
11,10,52813.0,1677377.0,77,585,0.05263157894736842,0
3,16,335559.0,1407368.0,497,722,0.03676470588235294,0
11,17,2444419.0,264959.0,702,916,0.0,0
14,24,197846.0,3183932.0,252,1746,0.012315270935960592,0
11,24,69600.0,1638612.0,36,1114,0.017094017094017096,0
3,1,24451.0,111440.0,7,14,0.0,0
5,18,777859.0,1634518.0,659,1043,0.032679738562091505,0
11,17,181259.0,260446.0,146,769,0.05128205128205128,0
7,9,997072.0,927646.0,64,407,0.0,0
3,16,5915.0,537818.0,11,722,0.04411764705882353,0
7,13,35008.0,650729.0,227,882,0.0,0
12,19,5537034.0,1436073.0,2975,835,0.0,0
8,13,78445.0,1245565.0,123,844,0.0,0
4,17,113432.0,1327599.0,11,297,0.015789473684210527,0
10,18,78208.0,394073.0,356,1196,0.05194805194805195,0
6,18,102539.0,1403588.0,29,1243,0.05194805194805195,0
15,15,6659581.0,715808.0,3770,658,0.009523809523809525,0
6,10,1477640.0,560798.0,137,389,0.12727272727272726,0
9,15,22803.0,808854.0,64,438,0.0,0
7,7,13986.0,454070.0,99,166,0.015151515151515152,0
9,14,10819374.0,2442699.0,2717,311,0.0,0
9,9,268392.0,4718099.0,305,733,0.13186813186813187,0
5,5,436778.0,1020260.0,559,513,0.1111111111111111,0
3,9,40722.0,322993.0,14,104,0.0,0
6,14,24815.0,209311.0,7,234,0.041666666666666664,0
4,13,98738.0,129490.0,48,462,0.0,0
9,16,9350455.0,1059032.0,247,668,0.0196078431372549,0
9,15,219537.0,506967.0,43,609,0.0,0
6,12,1561310.0,444755.0,1013,390,0.12087912087912088,0
5,21,1046194.0,1338113.0,95,1114,0.07792207792207792,0
11,10,629884.0,4437723.0,383,657,0.03333333333333333,0
8,10,7534726.0,583771.0,5079,343,0.0,0
11,16,3432845.0,2886052.0,2683,1151,0.0,0
6,11,162879.0,461751.0,111,623,0.0,0
11,30,424594.0,1781177.0,71,1495,0.03361344537815126,0
9,23,88969.0,1891548.0,58,936,0.03968253968253968,0
5,4,166312.0,880916.0,122,513,0.10714285714285714,0
8,16,351279.0,484092.0,181,161,0.031578947368421054,0
12,17,154955.0,476225.0,31,235,0.017316017316017316,0
5,9,1657762.0,1722685.0,389,462,0.0,0
4,15,25198.0,159888.0,10,308,0.0,0
4,7,74717.0,1036856.0,26,462,0.0,0
7,17,1340515.0,816566.0,211,1682,0.0,0
15,16,118103.0,1285927.0,70,1093,0.05238095238095238,0
7,17,1782427.0,232802.0,1852,725,0.03162055335968379,0
11,25,89243.0,2059458.0,133,1480,0.020689655172413793,0
7,15,109012.0,260085.0,54,616,0.013071895424836602,0
10,16,5816.0,2456790.0,16,2645,0.0,0
8,5,3703737.0,509844.0,1498,397,0.0,0
7,12,20397.0,1027984.0,29,540,0.0,0
9,9,480477.0,2076805.0,121,1238,0.038461538461538464,0
8,11,102974.0,1023720.0,79,669,0.04411764705882353,0
10,24,21559.0,2091504.0,32,1168,0.0,0
16,20,674842.0,2424422.0,195,2626,0.062388591800356503,0
11,18,2204807.0,1866991.0,1148,1452,0.025362318840579712,0
4,18,279369.0,900899.0,61,1140,0.02631578947368421,0
4,9,25058.0,458108.0,19,533,0.0,0
4,7,6006.0,612174.0,29,220,0.05555555555555555,0
9,17,76864.0,1162934.0,52,911,0.0,0
10,23,66270.0,851358.0,67,1255,0.06267806267806268,0
5,6,76053.0,945641.0,17,666,0.0,0
9,16,1712373.0,1787794.0,336,612,0.019762845849802372,0
7,8,160211.0,769643.0,68,759,0.0,0
5,15,2508530.0,257937.0,1116,410,0.0718954248366013,0
14,24,184241.0,2852815.0,149,1224,0.013793103448275862,0
11,24,353513.0,2250341.0,329,2817,0.059113300492610835,0
7,11,301444.0,1092422.0,116,854,0.11666666666666667,0
10,29,391396.0,3472379.0,293,2258,0.017204301075268817,0
12,22,7619376.0,2396281.0,276,1424,0.021739130434782608,0
5,12,15775.0,5540620.0,22,852,0.009523809523809525,0
6,17,122207.0,2064207.0,27,728,0.08571428571428572,0
10,11,5810782.0,2731188.0,5105,803,0.0380952380952381,0
5,8,199749.0,378561.0,773,370,0.0,0
4,1,105933.0,467892.0,102,213,0.0,0
6,7,479226.0,1399154.0,73,320,0.047619047619047616,0
7,22,446796.0,4745076.0,616,1348,0.006666666666666667,0
3,10,1148.0,608172.0,3,323,0.045454545454545456,0
3,16,434569.0,6751187.0,81,1644,0.09166666666666666,0
10,11,3165762.0,673458.0,1154,149,0.017543859649122806,0
8,17,58107.0,1207690.0,31,1139,0.0,0
7,14,119073.0,943924.0,26,500,0.0,0
14,27,1404790.0,1464078.0,3084,1305,0.016091954022988506,0
9,12,54662.0,183549.0,65,164,0.0,0
18,27,749517.0,2430659.0,1525,2446,0.00946969696969697,0
13,16,1702086.0,1666224.0,580,1077,0.13043478260869565,0
11,21,194807.0,1710781.0,229,3605,0.09230769230769231,0
13,16,541410.0,207755.0,3187,778,0.0,0
9,19,64916.0,1280499.0,46,1435,0.018115942028985508,0
4,6,922756.0,5700117.0,147,454,0.0,0
15,19,5235918.0,1723484.0,6276,695,0.05846153846153846,0
9,11,830006.0,2882060.0,481,686,0.0,0
16,15,2828451.0,3822772.0,2023,1193,0.09881422924901186,0
6,7,22450.0,331034.0,40,654,0.0,0
9,16,19004.0,832442.0,46,998,0.03896103896103896,0
8,9,628138.0,6961262.0,84,303,0.06666666666666667,0
3,8,31585.0,976141.0,20,291,0.0,0
7,12,905699.0,417151.0,2031,482,0.0,0
5,10,513541.0,872558.0,34,512,0.01282051282051282,0
16,17,1817273.0,3069523.0,1331,1381,0.0,0
7,16,21705510.0,7696523.0,737,737,0.0,4
7,17,14419.0,932046.0,15,748,0.005263157894736842,0
12,16,3551948.0,1457780.0,1916,969,0.0,0
12,18,150623.0,1563741.0,204,1915,0.0,0
