,source,target,Total,Count
523,11755,1203547,12288,4
524,11755,724878,731,1
525,11755,29515,9020,6
526,11755,1203529,39,1
527,27126,452,27931,77
528,27126,803,5112,68
529,1614852,1565,4954,6
530,1154779,1565,12262,21
531,143126,1565,426,1
532,143126,1868,473525,146
533,143126,16030,13488,1
534,143126,36619,18,2
535,112870,1565,1221,1
536,112870,394928,8024,7
537,112870,20586,111381,38
538,112870,5260,159,1
539,112870,58998,3059,8
540,112870,452202,1571,3
541,112870,33701,635,1
542,112870,17793,84119,16
543,112870,118051,1970,14
544,112870,13836,2998,1
545,609994,1565,2939,2
546,792832,1565,1367,1
547,1095108,1565,315,1
548,1281176,1565,5701,9
549,1281176,28930,791,4
550,1868,356458,102,1
551,1868,41160,26310,45
552,16030,7631,44,3
553,16030,4129,325,3
554,16030,219317,130,1
555,16030,1611673,20152,41
556,16030,1840,176110,1
557,16030,1611680,85807,66
558,36619,143126,1144775,481
559,36619,635566,36076,14
560,36619,1204116,272,1
561,36619,130169,133190,191
562,36619,34077,3662,14
563,738885,1868,351918,259
564,3314,1868,22113,4
565,3314,3260,82467,189
566,3314,72637,3564,1
567,3314,49086,2699,1
568,3314,4062,511282,154
569,263066,1868,603,1
570,263066,30317,79076,319
571,872226,1868,6497,6
572,41160,100391,1996,3
573,3260,3314,215,1
574,3260,3354,75,1
575,3260,3377,45,1
576,3260,3351,31992,21
577,3260,68,166,10
578,3260,3317,163685,105
579,3260,3370,6928,35
580,3260,3381,504,56
581,72637,309945,692,8
582,72637,29051,30367,28
583,72637,1099310,6004,12
584,72637,44858,5813,3
585,72637,1099279,27553,24
586,72637,1099291,7663,20
587,72637,1099318,217289,884
588,72637,1099315,45900,27
589,72637,284304,131,1
590,72637,306037,6050,1
591,49086,2942,3025,13
592,49086,785,3610,38
593,49086,165911,3242,2
594,49086,4467,8317,11
595,49086,165893,146,1
596,49086,165929,180,1
597,49086,66515,5415,12
598,49086,127599,2576,2
599,49086,66593,19235,45
600,49086,34759,7964,1
601,49086,165906,334,1
